SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
sequential-mobilenetv2_1.00_160-Conv_1_bn-FusedBatchNormV3_0,0.1767066641999918,0.04626163819921203,0.8566,4.0,0.0028001150001273345,0.00021660499623976648,32000,0.21056761399995594,0.0037370924002061655,BatchNormalization,5120,3840,0.13625783960137597,0
sequential-global_average_pooling2d-Mean_0,0.17006011419998684,0.027683036198141053,0.8310000000000001,4.0,0.0022465810000085185,8.486399747198448e-05,1280,0.15623983399996177,0.003354048999972292,GlobalAveragePool,0,35840,0.1614829916024519,0
sequential-dense-MatMul_0,0.1790375770000537,0.02725127839803463,0.8272,4.0,0.0018082500000673463,8.155200339388102e-05,1,0.1880641719999403,0.0041870433998610675,MatMul,1280,1280,0.15293728660249145,0
SplitLayer,1stInfTime,2ndInfTime,oscarJobTime,kubePodTime,tensorSaveTime,tensorLoadTime,tensorLenght,networkingTime,singleLayerInfTime,OpType,NrParameters,FLOPS,SingleLayerSum-Splitted,singleLayerInfTimeProf
NO_SPLIT,0.22170850199995584,0,0,0,0,0,0,0,0,,,,0.026560058998484237,
NO_SPLIT,0,0.1909309439943172,1.05,4.0,0,0.00038004000089131296,76800,0.23368971800005056,0,,,,0.057337617004122876,
sequential-mobilenetv2_1.00_160-bn_Conv1-FusedBatchNormV3_0,0.007473461999779829,0.17623715299851028,1.012,4.0,0.008041977999937444,0.0008028750016819686,204800,0.2955986249999114,0.005567695000081585,Conv,896,864,0.06455794600014997,0
sequential-mobilenetv2_1.00_160-expanded_conv_depthwise_BN-FusedBatchNormV3_0,0.017086191000089457,0.1714217779954197,0.983,4.0,0.013400543000216203,0.0008625589980510995,204800,0.3143136599999252,0.007504702999995061,Conv,320,9312,0.059760592002930935,0
sequential-mobilenetv2_1.00_160-expanded_conv_project_BN-FusedBatchNormV3_0,0.013610226999844599,0.1777802119977423,0.961,4.0,0.007214297000018632,0.00042755500180646777,102400,0.22909476000018003,0.007270370000014736,Conv,528,608,0.05687812200085318,0
sequential-mobilenetv2_1.00_160-block_1_expand-Conv2D_0,0.02654936500016447,0.17371421699499479,0.888,4.0,0.025921368000126677,0.0021612490018014796,614400,0.48212645399985377,0.005720155000062732,Conv,1536,1536,0.04800497900328082,0
sequential-mobilenetv2_1.00_160-block_1_expand_BN-FusedBatchNormV3_0,0.020312174000309824,0.1792642629952752,0.878,4.0,0.022805643000083364,0.0020477430007304065,614400,0.46849113500002204,0.007061408000254232,BatchNormalization,384,288,0.04869212400285505,0
sequential-mobilenetv2_1.00_160-block_1_pad-Pad_0,0.02933961000007912,0.17046508000203175,0.966,4.0,0.032131688999925245,0.0021454930028994568,629856,0.46682321699995555,0.008068032999972274,Pad,0,288,0.048463870996329206,0
sequential-mobilenetv2_1.00_160-block_1_depthwise_BN-FusedBatchNormV3_0,0.02895839000007072,0.17982815299910726,1.017,4.0,0.011210979999987103,0.0006072320029488765,153600,0.2802329999999529,0.010515741999824968,Conv,960,82944,0.0394820179992621,0
sequential-mobilenetv2_1.00_160-block_1_project_BN-FusedBatchNormV3_0,0.04893406599990158,0.1844464390014764,0.901,4.0,0.013905225000144128,0.00021110999659867957,38400,0.2101871709999159,0.004693604999829404,Conv,2328,2592,0.01488805599706211,0
sequential-mobilenetv2_1.00_160-block_2_add-add_0,0.06307504899973537,0.17392617499717744,1.038,4.0,0.004795254000100613,0.0002082819992210716,38400,0.2160694379999768,0.011193554999863409,Add,8952,233232,0.011267337001527267,0
sequential-mobilenetv2_1.00_160-block_3_expand_BN-FusedBatchNormV3_0,0.057456430000002,0.11797518900129944,0.956,4.0,0.014023595000026035,0.000859896004840266,230400,0.32448573800002123,0.0047135130000697245,Conv,3600,3456,0.07283694199713864,0
sequential-mobilenetv2_1.00_160-block_3_pad-Pad_0,0.037151829999857,0.11329426899465034,0.81,4.0,0.008231273000092187,0.0009237580015906133,242064,0.260129046999964,0.006169987000021138,Pad,0,432,0.09782246200393274,0
sequential-mobilenetv2_1.00_160-block_3_depthwise_BN-FusedBatchNormV3_0,0.04142880800009152,0.1926504709990695,0.963,4.0,0.003622110999913275,0.00029178599652368575,57600,0.16176669500009666,0.004126996999730181,Conv,1440,186624,0.014189281999279046,0
sequential-mobilenetv2_1.00_160-block_3_project_BN-FusedBatchNormV3_0,0.039237374000322234,0.16201410900248447,0.934,4.0,0.0035502039997936663,0.00012931200035382062,12800,0.13455137100004322,0.0050850299999183335,Conv,4640,5040,0.04701707799563337,0
sequential-mobilenetv2_1.00_160-block_4_add-add_0,0.04343033500003912,0.18036638400371885,1.003,4.0,0.0034787600000072416,0.00014188800560077652,12800,0.13099659199997404,0.006718056999943656,Add,15008,358592,0.02447184199468211,0
sequential-mobilenetv2_1.00_160-block_5_add-add_0,0.046639004000098794,0.1688615130042308,0.949,4.0,0.0017254360000151792,0.00012810900079784915,12800,0.1346297960001266,0.00693394600011743,Add,14432,358016,0.032768043994110485,0
sequential-mobilenetv2_1.00_160-block_6_expand_BN-FusedBatchNormV3_0,0.04674157700014803,0.16660679600317962,0.911,4.0,0.003440446000013253,0.0003492300020297989,76800,0.1823850719999882,0.005996673000026931,Conv,6336,6144,0.03492018799511243,0
sequential-mobilenetv2_1.00_160-block_6_pad-Pad_0,0.047992754999768295,0.10145936899789376,0.912,4.0,0.004160627000146633,0.0003866830011247657,84672,0.17672695300007035,0.0030543360001047404,Pad,0,576,0.09881643700077802,0
sequential-mobilenetv2_1.00_160-block_6_depthwise_BN-FusedBatchNormV3_0,0.048950990999856,0.11700569600361632,0.934,4.0,0.0031873350001205836,0.00016818400035845116,19200,0.13645071299993106,0.0029570220001460257,Conv,1920,331776,0.08231187399496775,0
